PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,1929.1123781204224,162378.98100000003,134824,1.2043774179671278
110,1533.007892370224,141545.66399999996,134559,1.0519226807571398
120,1273.2729103565216,127337.44500000002,135164,0.9420958613240213
130,1120.8759853839874,120415.69199999998,134718,0.8938352113303344
140,1047.6154789924622,120613.84800000001,136468,0.8838251311662808
150,995.9090163707733,122465.77399999995,133340,0.918447382630868
160,998.8105044364929,130779.23599999998,134963,0.9690006594399945
170,993.2298934459686,138069.392,135030,1.0225090128119676
180,973.6996335983276,143138.99899999995,133347,1.0734324656722682
190,991.7000691890717,153872.36899999998,136556,1.1268078224318228
200,986.0377411842346,160470.659,136450,1.1760400073286918
210,978.6356515884399,167020.73599999998,135824,1.2296850041229825
220,963.0643730163574,171863.74300000002,134063,1.2819625325406714
230,967.4201023578644,178938.841,134973,1.3257380439050772
240,958.4701120853424,180780.355,133840,1.3507199267782428
250,951.7211394309998,179558.71700000006,132849,1.351600064735151